CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
07.628.528/0001-59;2020-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-07-01;2019-06-30;7.01.02;Outras Receitas;19317.0000000000;S
07.628.528/0001-59;2020-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-07-01;2020-06-30;7.01.02;Outras Receitas;91048.0000000000;S
07.628.528/0001-59;2020-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-07-01;2019-06-30;7.01.02.01;Movimentação de valor justo de ativos biológicos e produtos agrícolas;21043.0000000000;N
07.628.528/0001-59;2020-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-07-01;2020-06-30;7.01.02.01;Movimentação de valor justo de ativos biológicos e produtos agrícolas;97673.0000000000;N
07.628.528/0001-59;2020-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-07-01;2019-06-30;7.01.02.02;Provisão do valor recuperável de produtos agrícolas, líquida;-1561.0000000000;N
07.628.528/0001-59;2020-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-07-01;2020-06-30;7.01.02.02;Provisão do valor recuperável de produtos agrícolas, líquida;-2402.0000000000;N
07.628.528/0001-59;2020-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-07-01;2019-06-30;7.01.02.03;Outras receitas e despesas;-165.0000000000;N
07.628.528/0001-59;2020-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-07-01;2020-06-30;7.01.02.03;Outras receitas e despesas;-4223.0000000000;N
07.628.528/0001-59;2020-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-07-01;2019-06-30;7.01.03;Receitas refs. à Construção de Ativos Próprios;0.0000000000;S
07.628.528/0001-59;2020-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-07-01;2020-06-30;7.01.03;Receitas refs. à Construção de Ativos Próprios;0.0000000000;S
07.628.528/0001-59;2020-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-07-01;2019-06-30;7.01.04;Provisão/Reversão de Créds. Liquidação Duvidosa;654.0000000000;S
07.628.528/0001-59;2020-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-07-01;2020-06-30;7.01.04;Provisão/Reversão de Créds. Liquidação Duvidosa;-279.0000000000;S
07.628.528/0001-59;2020-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;020036;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-07-01;2019-06-30;7.02;Insumos Adquiridos de Terceiros;-171029.0000000000;S
